sha256,rank,action,score
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,1,D3-PT - Process Termination,1.769678
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,2,D3-FEV - File Eviction,1.083550
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,3,D3-FIM - File Integrity Monitoring,0.877061
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,4,D3-PSA - Process Spawn Analysis,0.856385
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,5,D3-OTF - Outbound Traffic Filtering,0.820103
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,6,D3-PCSV - Process Code Segment Verification,0.809640
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,7,D3-NI - Network Isolation,0.686127
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,8,D3-CAA - Connection Attempt Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,9,D3-CCSA - Credential Compromise Scope Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,10,D3-CQ - Content Quarantine,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,11,D3-CR - Credential Revocation,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,12,D3-CRO - Credential Rotation,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,13,D3-DNSDL - DNS Denylisting,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,14,D3-DNSTA - DNS Traffic Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,15,D3-EAL - Executable Allowlisting,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,16,D3-EDL - Executable Denylisting,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,17,D3-FA - File Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,18,D3-FRDDL - Forward Resolution Domain Denylisting,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,19,D3-PLA - Process Lineage Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,20,D3-RC - Restore Configuration,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,21,D3-RF - Restore File,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,22,D3-RKD - Registry Key Deletion,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,23,D3-RTSD - Remote Terminal Session Detection,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,24,D3-SCA - System Call Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,25,D3-SICA - System Init Config Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,26,D3-SJA - Scheduled Job Analysis,0.600000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,27,D3-CE - Credential Eviction,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,28,D3-EI - Execution Isolation,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,29,D3-FAPA - File Access Pattern Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,30,D3-FCA - File Creation Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,31,D3-FCOA - File Content Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,32,D3-FHRA - File Hash Reputation Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,33,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,34,D3-ITF - Inbound Traffic Filtering,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,35,D3-NTA - Network Traffic Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,36,D3-PA - Process Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,37,D3-PSMD - Process Self,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,38,D3-RUAA - Restore User Account Access,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,39,D3-SEA - Script Execution Analysis,0.000000
d09338f3248b7c43b4c58274d453732fca910a0cee2ca50a2b72fe0364fb615c,40,D3-ST - Session Termination,0.000000
