sha256,rank,action,score
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,1,D3-PT - Process Termination,1.358931
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,2,D3-FEV - File Eviction,1.002281
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,3,D3-OTF - Outbound Traffic Filtering,1.002281
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,4,D3-DNSDL - DNS Denylisting,0.799096
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,5,D3-PLA - Process Lineage Analysis,0.779400
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,6,D3-PSA - Process Spawn Analysis,0.779400
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,7,D3-NI - Network Isolation,0.778607
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,8,D3-CAA - Connection Attempt Analysis,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,9,D3-CQ - Content Quarantine,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,10,D3-DNSTA - DNS Traffic Analysis,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,11,D3-EAL - Executable Allowlisting,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,12,D3-EDL - Executable Denylisting,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,13,D3-FA - File Analysis,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,14,D3-FIM - File Integrity Monitoring,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,15,D3-FRDDL - Forward Resolution Domain Denylisting,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,16,D3-PCSV - Process Code Segment Verification,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,17,D3-RC - Restore Configuration,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,18,D3-RF - Restore File,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,19,D3-RTSD - Remote Terminal Session Detection,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,20,D3-RUAA - Restore User Account Access,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,21,D3-SCA - System Call Analysis,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,22,D3-SJA - Scheduled Job Analysis,0.600000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,23,D3-SICA - System Init Config Analysis,0.376307
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,24,D3-CCSA - Credential Compromise Scope Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,25,D3-CE - Credential Eviction,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,26,D3-CR - Credential Revocation,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,27,D3-CRO - Credential Rotation,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,28,D3-EI - Execution Isolation,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,29,D3-FAPA - File Access Pattern Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,30,D3-FCA - File Creation Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,31,D3-FCOA - File Content Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,32,D3-FHRA - File Hash Reputation Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,33,D3-FRIDL - Forward Resolution IP Denylisting,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,34,D3-ITF - Inbound Traffic Filtering,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,35,D3-NTA - Network Traffic Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,36,D3-PA - Process Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,37,D3-PSMD - Process Self,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,38,D3-RKD - Registry Key Deletion,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,39,D3-SEA - Script Execution Analysis,0.000000
6056ddf4fd5f58f421883da0176a32cbad5458c80d33e1e0d4f1ddcf28f6d21d,40,D3-ST - Session Termination,0.000000
